Wall time,Step,Value
1705040583.6876216,0,0.27561667561531067
1705040600.3626647,1,0.0507945641875267
1705040616.8395991,2,0.03059968538582325
1705040633.5643277,3,0.026900537312030792
1705040650.3450384,4,0.02005639486014843
1705040667.2386172,5,0.015068940818309784
1705040684.150873,6,0.007231543771922588
1705040700.5659406,7,0.052472472190856934
1705040717.423277,8,0.027979344129562378
1705040734.1678634,9,0.01398491207510233
1705040750.979292,10,0.0002434858906781301
1705040767.7904465,11,0.0001499914360465482
1705040784.4880402,12,0.0001543940743431449
1705040801.3999488,13,7.178095984272659e-05
1705040818.4334476,14,8.506622543791309e-05
1705040835.1979053,15,0.06203022599220276
1705040851.8810227,16,0.017086174339056015
1705040868.7537622,17,0.002555846469476819
1705040885.3828113,18,0.009695571847259998
1705040902.1057765,19,0.01489158533513546
