Wall time,Step,Value
1705040582.422765,0,0.6619395017623901
1705040601.2384746,1,0.10007580369710922
1705040619.8185022,2,0.07379748672246933
1705040638.5887125,3,0.021129649132490158
1705040657.3227751,4,0.019908642396330833
1705040676.505523,5,0.06787299364805222
1705040695.018109,6,0.026889540255069733
1705040713.743707,7,0.04392896965146065
1705040732.596069,8,0.02853127010166645
1705040751.5959678,9,0.028937673196196556
1705040770.3066986,10,0.03714530169963837
1705040789.168974,11,0.021316969767212868
1705040808.2060435,12,0.08035832643508911
1705040827.056902,13,0.038694411516189575
1705040845.8770142,14,0.008740297518670559
1705040864.687058,15,0.006717619951814413
1705040883.3168752,16,0.024348314851522446
1705040902.0683079,17,0.04225495830178261
1705040920.5880435,18,0.008153635077178478
1705040939.5486116,19,0.04619179293513298
